,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
27364,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2445,182903.353459
27365,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2445,182903.35346
27366,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2445,182903.353461
27367,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2445,182903.353463
27368,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2445,182903.353464
27369,update_curr_rt,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2445,182903.353465
27370,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,2,pi_stress-2445,182903.353466
27371,cpuacct_charge,000,null,d,null,null,update_curr_rt,2,pi_stress-2445,182903.353467
27372,__rcu_read_lock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2445,182903.353468
27373,__rcu_read_unlock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2445,182903.35347
27374,preempt_count_add,000,null,d,null,null,update_curr_rt,2,pi_stress-2445,182903.353471
27375,preempt_count_sub,000,null,d,null,null,update_curr_rt,3,pi_stress-2445,182903.353472
27376,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2445,182903.353473
27377,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2445,182903.353474
27378,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2445,182903.353475
27379,pick_next_task_dl,000,null,d,null,null,__schedule,2,pi_stress-2445,182903.353476
27380,pick_next_task_rt,000,null,d,null,null,__schedule,2,pi_stress-2445,182903.353478
27381,update_curr_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2445,182903.353479
27382,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2445,182903.35348
27383,update_curr_rt,000,null,d,null,null,put_prev_task_rt,2,pi_stress-2445,182903.353481
27384,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2445,182903.353483
27385,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2445,182903.353484
27386,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2445,182903.353485
